"ID_LC","LC","T2015","T2020","T2025"
"1","Hutan Primer","187871","118826","76226"
"10","Agroforestri karet","76907","59726","45146"
"12","Agroforestri kayu manis","3848","5173","1709"
"14","Kebun campuran","211","540","3420"
"16","Karet monokultur","81311","123057","132557"
"17","Kelapa sawit","41857","79479","107307"
"19","Semak","2096","3703","11992"
"2","Hutan bekas tebangan kerapatan tinggi","22343","12946","25004"
"20","Lahan pertanian","674","7022","4305"
"21","Sawah","9966","16653","16414"
"23","Rumput","30","143","141"
"24","Lahan terbuka","2751","3226","3682"
"25","Pemukiman","2734","15684","18880"
"3","Hutan bekas tebangan kerapatan rendah","19142","5563","4958"
"42","Air","7721","7721","7721"
