ID,LC,CARBON
0,No data,0
1,Hutan Primer,261.52
2,Hutan bekas tebangan kerapatan tinggi,192.81
3,Hutan bekas tebangan kerapatan rendah,129.97
10,Agroforestri karet,69
12,Agroforestri kayu manis,61.6
14,Kebun campuran,73.21
16,Karet monokultur,40.5
17,Kelapa sawit,40
19,Semak,43
20,Lahan pertanian,9.5
21,Sawah,0.99
23,Rumput,3.35
24,Lahan terbuka,3.35
25,Pemukiman,4.14
42,Air ,0
