ID,LC,NPV,CARBON
0,No data,0,0
1,Hutan Primer,0,261.52
2,Hutan bekas tebangan kerapatan tinggi,0,192.81
3,Hutan bekas tebangan kerapatan rendah,0,129.97
10,Agroforestri karet,2508,69
12,Agroforestri kayu manis,3805,61.6
14,Kebun campuran,5301,73.21
16,Karet monokultur,3213,40.5
17,Kelapa sawit,7615,40
19,Semak,0,43
20,Lahan pertanian,30584,9.5
21,Sawah,20252,0.99
23,Rumput,0,3.35
24,Lahan terbuka,0,3.35
25,Pemukiman,5785,4.14
42,Air ,0,0
