REFERENCE,IDS,IDO
Hutan Lindung,1,1
Hutan Produksi,2,2
Perkebunan,2,3
Perkotaaan,3,4
Pertanian Lahan Basah,2,5
Pertanian Lahan Kering,2,6
Sempadan Sungai,1,7
Taman Nasional Kerinci Sebelat,1,8
