Pola_Ruang,unique_id,Freq,NEW_ID,Tambang_Bungo_F,Perkebunan_Bungo_F,Hutan_Adat_Bungo_F,HTI_Bungo_F,REFERENCE,IDS,cek1,cek2,cek3,cek4,reconcile1,reconcile_attr,reconcile_attr2,Rec_phase1,Rec_phase1b,ID_rec
5,1010005,227,36,0,1,1,0,Pertanian Lahan Basah,2,0,0,0,0,0,Pertanian Lahan Basah,100,Pertanian Lahan Basah,Pertanian Lahan Basah,2
5,100000005,2036,39,0,0,0,2,Pertanian Lahan Basah,2,1,0,0,0,1,unresolved,1,HTI_Bungo_F,unresolved_case,3
5,10105,3449,27,2,1,0,0,Pertanian Lahan Basah,2,0,0,0,1,1,unresolved,4,Tambang_Bungo_F,unresolved_case,33
5,100010105,111,53,2,1,0,2,Pertanian Lahan Basah,2,1,0,0,1,2,unresolved,100,unresolved,unresolved_case,34
5,10005,33348,21,0,1,0,0,Pertanian Lahan Basah,2,0,0,0,0,0,Pertanian Lahan Basah,100,Pertanian Lahan Basah,Pertanian Lahan Basah,3
5,5,24533,5,0,0,0,0,Pertanian Lahan Basah,2,0,0,0,0,0,Pertanian Lahan Basah,100,Pertanian Lahan Basah,Pertanian Lahan Basah,5
5,100010005,25,48,0,1,0,2,Pertanian Lahan Basah,2,1,0,0,0,1,unresolved,1,HTI_Bungo_F,unresolved_case,37
5,105,6290,13,2,0,0,0,Pertanian Lahan Basah,2,0,0,0,1,1,unresolved,4,Tambang_Bungo_F,unresolved_case,38
6,10106,3960,28,2,1,0,0,Pertanian Lahan Kering,2,0,0,0,1,1,unresolved,4,Tambang_Bungo_F,unresolved_case,39
6,6,92655,6,0,0,0,0,Pertanian Lahan Kering,2,0,0,0,0,0,Pertanian Lahan Kering,100,Pertanian Lahan Kering,Pertanian Lahan Kering,7
6,100010006,3,49,0,1,0,2,Pertanian Lahan Kering,2,1,0,0,0,1,unresolved,1,HTI_Bungo_F,unresolved_case,8
6,106,4093,14,2,0,0,0,Pertanian Lahan Kering,2,0,0,0,1,1,unresolved,4,Tambang_Bungo_F,unresolved_case,42
6,10006,54040,22,0,1,0,0,Pertanian Lahan Kering,2,0,0,0,0,0,Pertanian Lahan Kering,100,Pertanian Lahan Kering,Pertanian Lahan Kering,43
7,10107,466,29,2,1,0,0,Sempadan Sungai,1,0,0,1,0,1,unresolved,3,Perkebunan_Bungo_F,unresolved_case,44
7,7,6690,7,0,0,0,0,Sempadan Sungai,1,0,0,0,0,0,Sempadan Sungai,100,Sempadan Sungai,Sempadan Sungai,7
7,107,653,15,2,0,0,0,Sempadan Sungai,1,0,0,0,0,0,Sempadan Sungai,100,Sempadan Sungai,Sempadan Sungai,46
7,1000007,1,33,0,0,1,0,Sempadan Sungai,1,0,1,0,0,1,unresolved,2,Hutan_Adat_Bungo_F,unresolved_case,47
7,100000107,45,45,2,0,0,2,Sempadan Sungai,1,0,0,0,0,0,Sempadan Sungai,100,Sempadan Sungai,Sempadan Sungai,48
7,100010007,79,50,0,1,0,2,Sempadan Sungai,1,0,0,1,0,1,unresolved,3,Perkebunan_Bungo_F,unresolved_case,49
7,10007,2230,23,0,1,0,0,Sempadan Sungai,1,0,0,1,0,1,unresolved,3,Perkebunan_Bungo_F,unresolved_case,50
7,100000007,714,40,0,0,0,2,Sempadan Sungai,1,0,0,0,0,0,Sempadan Sungai,100,Sempadan Sungai,Sempadan Sungai,51
8,108,713,16,2,0,0,0,Taman Nasional Kerinci Sebelat,1,0,0,0,0,0,Taman Nasional Kerinci Sebelat,100,Taman Nasional Kerinci Sebelat,Taman Nasional Kerinci Sebelat,52
8,8,40244,8,0,0,0,0,Taman Nasional Kerinci Sebelat,1,0,0,0,0,0,Taman Nasional Kerinci Sebelat,100,Taman Nasional Kerinci Sebelat,Taman Nasional Kerinci Sebelat,53
8,100000008,984,41,0,0,0,2,Taman Nasional Kerinci Sebelat,1,0,0,0,0,0,Taman Nasional Kerinci Sebelat,100,Taman Nasional Kerinci Sebelat,Taman Nasional Kerinci Sebelat,54
